	Лемма	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
0	автолайн	0.0	0.0	1.0	0.0	0.0	1.0
4	араз	0.0	0.0	1.0	0.0	0.0	1.0
6	аршан	2.39	0.0	0.0	3.28	0.0	0.0
11	бадлон	0.0	0.0	1.0	0.0	0.0	1.0
13	баклажка	inf	0.0	0.0	0.46	0.68	0.33
17	батониться	inf	0.0	0.0	inf	0.0	0.0
22	берик	0.0	0.0	1.0	0.0	0.0	1.0
46	ботсад	1.19	0.34	0.56	1.22	0.35	0.56
47	брежневка	inf	0.0	0.0	inf	0.0	0.0
49	бусик	1.17	0.14	0.5	0.4	0.6	1.0
64	водогрей	0.0	0.0	1.0	0.0	0.0	1.0
71	гирло	inf	0.0	0.0	inf	0.0	0.0
73	голить	0.0	0.0	1.0	0.0	0.0	1.0
76	гопа	0.0	0.0	1.0	0.0	0.0	1.0
83	горсад	inf	0.0	0.0	inf	-0.0	0.0
87	греча	0.67	0.39	0.69	0.51	0.53	0.88
93	дерибас	0.0	0.0	1.0	0.0	0.0	1.0
95	дикорос	0.0	0.0	1.0	0.0	0.0	1.0
99	догонялки	0.25	0.75	1.0	0.26	0.74	1.0
101	долбан	0.0	0.0	1.0	0.0	0.0	1.0
102	Долгопа	4.59	0.0	0.0	5.6	0.0	0.0
103	домашники	0.0	0.0	1.0	0.0	0.0	1.0
108	Ебург	8.93	-0.0	0.0	4.32	0.01	0.11
121	занос	0.47	0.53	1.0	0.23	0.77	1.0
123	заодним	0.0	0.0	1.0	0.0	0.0	1.0
125	Зелик	8.44	0.0	0.0	8.55	0.0	0.0
129	Ирк	inf	0.0	0.0	inf	0.0	0.0
135	калега	0.0	0.0	1.0	0.0	0.0	1.0
143	Кёниг	14.92	0.0	0.0	13.11	0.0	0.0
145	кеч	0.0	0.0	1.0	0.0	0.0	1.0
150	копач	0.0	0.0	1.0	0.0	0.0	1.0
152	коринка	0.0	0.0	1.0	0.0	0.0	1.0
158	красовский	0.0	0.0	1.0	0.0	0.0	1.0
159	Кривбасс	inf	0.0	0.0	5.91	0.0	0.0
160	крутка	0.0	0.0	1.0	0.0	0.0	1.0
162	кубло	1.15	0.0	0.0	0.43	0.61	0.67
166	кукса	0.0	0.0	1.0	0.0	0.0	1.0
168	култук	inf	0.0	0.0	inf	0.0	0.0
172	кура	0.0	0.0	1.0	0.0	0.0	1.0
175	курумник	0.0	0.0	1.0	0.0	0.0	1.0
184	латка	0.0	0.0	1.0	0.0	0.0	1.0
190	локер	0.0	0.0	1.0	0.0	0.0	1.0
197	малосемейка	1.08	0.37	0.45	0.96	0.41	0.45
203	манты	inf	0.0	0.0	inf	0.0	0.0
208	матный	0.29	0.71	1.0	0.16	0.84	1.0
213	мивина	18.5	0.0	0.0	21.39	0.0	0.0
215	микрик	173.83	0.0	0.0	269.26	0.0	0.0
217	мобилка	0.21	0.79	1.0	0.16	0.84	1.0
218	мобиль	0.0	0.0	1.0	0.0	0.0	1.0
221	муль	0.0	0.0	1.0	0.0	0.0	1.0
229	наливайка	19.62	0.0	0.0	18.28	0.0	0.0
235	Новоросс	1.96	0.0	0.0	2.37	0.0	0.0
236	Новосиб	2.26	0.14	0.22	1.6	0.24	0.31
237	новостийный	1.23	0.0	0.0	0.14	0.86	1.0
240	обменка	0.59	0.41	1.0	0.26	0.74	1.0
241	обменник	0.12	0.88	1.0	0.18	0.82	1.0
251	Орен	5.3	0.0	0.0	7.06	0.0	0.0
253	отворотка	inf	0.0	0.0	inf	0.0	0.0
258	парма	2.41	0.0	0.0	2.76	0.0	0.0
260	пасочка	3.54	0.0	0.0	1.21	0.28	0.33
269	поварёшка	0.52	0.48	1.0	0.73	0.34	0.75
270	повешать	19.82	0.0	0.0	22.23	0.0	0.0
273	подклад	1.7	0.12	0.22	1.74	0.09	0.19
276	политсила	2.13	0.0	0.0	2.58	0.0	0.0
286	поребрик	0.15	0.85	1.0	0.14	0.86	1.0
287	потеряшка	0.81	0.36	0.67	0.8	0.35	0.72
293	пятнашки	0.0	0.0	1.0	0.0	0.0	1.0
296	ранешний	0.0	0.0	1.0	0.0	0.0	1.0
303	реготать	inf	0.0	0.0	inf	0.0	0.0
312	рясно	inf	0.0	0.0	inf	0.0	0.0
316	сарайка	46.22	0.0	0.0	69.51	0.0	0.0
321	свороток	0.0	0.0	1.0	0.0	0.0	1.0
323	Севаст	6.32	0.0	0.0	6.88	0.0	0.0
325	Севск	inf	0.0	0.0	inf	0.0	0.0
328	селюк	8.21	0.0	0.0	9.31	0.0	0.0
334	сидушка	0.57	0.43	1.0	0.3	0.7	1.0
336	Симф	10.2	0.0	0.0	9.66	0.0	0.0
337	Симфер	3.52	0.0	0.0	3.42	0.0	0.0
350	сотик	0.22	0.78	1.0	0.32	0.69	0.81
351	сотовик	0.0	0.0	1.0	0.0	0.0	1.0
352	сотовый	0.7	0.36	0.75	0.43	0.57	1.0
354	сродный	0.83	0.32	0.67	0.81	0.31	0.67
356	сталинка	1.56	0.18	0.28	1.39	0.22	0.4
359	стёрка	0.66	0.46	0.75	0.66	0.46	0.81
371	толока	3.89	0.0	0.0	5.25	0.0	0.0
374	тремпель	13.96	0.0	0.0	12.04	0.0	0.0
383	тютина	0.0	0.0	1.0	0.0	0.0	1.0
384	тям	0.31	0.69	1.0	0.33	0.67	1.0
390	улка	0.53	0.47	1.0	0.47	0.53	1.0
394	ульяновка	0.0	0.0	1.0	0.0	0.0	1.0
403	хилять	0.0	0.0	1.0	0.0	0.0	1.0
411	Чебы	30.89	0.0	0.0	38.38	0.0	0.0
412	Челяба	8.54	0.0	0.0	0.21	0.82	0.5
416	чинарик	0.43	0.57	1.0	0.36	0.64	1.0
419	чойс	0.0	0.0	1.0	0.0	0.0	1.0
421	чухать	0.0	0.0	1.0	0.0	0.0	1.0
423	шаверма	4.7	0.08	0.22	3.16	0.09	0.33
431	шихан	7.0	0.0	0.0	3.36	0.0	0.0
441	энский	0.0	0.0	1.0	0.0	0.0	1.0
445	яйла	10.91	0.0	0.0	7.66	0.0	0.0
