Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
тыняться	8	8	0	0	5	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
семский	20	20	0	0	12	100.00	100.00	100.00	100.00	0.05	0.05	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
одоробло	15	15	0	0	6	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
селючка	7	7	0	0	3	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
наявность	17	17	0	0	3	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
манты	19	19	0	0	9	100.00	100.00	100.00	100.00	0.01	0.01	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
мамбетизм	31	31	1	1	15	96.88	96.88	96.88	96.88	0.08	0.08	0.00	0.00	399.67	inf	0.00	0.00	0.00	0.00
италмас	7	7	1	1	4	87.50	87.50	100.00	100.00	0.11	0.11	0.00	0.00	150.75	inf	0.00	0.00	0.00	0.00
Невинка	6	6	2	2	1	75.00	75.00	100.00	100.00	0.13	0.13	0.00	0.00	90.78	inf	0.00	0.00	0.00	0.00
аршан	19	19	18	18	41	51.35	51.35	57.58	57.58	0.60	0.68	0.05	0.00	11.55	inf	0.00	0.00	0.00	0.00
буузы	9	9	8	8	30	52.94	52.94	69.23	69.23	0.38	0.38	0.04	0.00	10.02	inf	0.00	0.00	0.00	0.00
Чебы	15	15	14	14	13	51.72	51.72	78.95	78.95	0.38	0.38	0.04	0.01	9.75	53.26	0.00	0.00	0.00	0.00
култук	21	21	12	12	19	63.64	63.64	63.64	63.64	0.34	0.34	0.04	0.00	8.72	inf	0.00	0.00	0.00	0.00
рясно	108	108	3	3	40	97.30	97.30	99.08	99.08	0.02	0.02	0.00	0.00	6.77	inf	0.00	0.00	0.00	0.00
горсад	45	45	8	8	31	84.91	84.91	88.24	88.24	0.07	0.12	0.01	0.00	6.67	inf	0.11	0.00	0.09	0.00
Семск	40	40	4	4	23	90.91	90.91	90.91	90.91	0.10	0.10	0.02	0.00	6.50	inf	0.00	0.00	0.00	0.00
Севаст	20	20	20	20	24	50.00	50.00	52.63	52.63	0.12	0.12	0.02	0.02	5.88	5.88	0.00	0.00	0.00	0.00
Севск	9	9	7	7	15	56.25	56.25	56.25	56.25	0.12	0.08	0.02	0.00	4.91	inf	0.00	0.00	0.00	0.00
скибка	16	16	1	1	5	94.12	94.12	100.00	100.00	0.00	0.00	0.00	0.00	4.30	inf	0.00	0.00	0.00	0.00
Симф	32	32	22	22	34	59.26	59.26	64.00	64.00	0.19	0.19	0.05	0.03	4.14	6.51	0.00	0.00	0.00	0.00
мамбетка	19	19	2	2	6	90.48	90.48	95.00	95.00	0.07	0.07	0.02	0.00	3.64	inf	0.05	0.00	0.25	0.00
Орен	30	30	75	75	60	28.57	28.57	31.58	31.58	0.50	0.50	0.14	0.14	3.56	3.56	0.00	0.00	0.00	0.00
швендять	13	13	1	1	2	92.86	92.86	100.00	100.00	0.00	0.00	0.00	0.00	3.50	inf	0.00	0.00	0.00	0.00
тремпель	36	36	15	15	26	70.59	70.59	73.47	73.47	0.09	0.17	0.03	0.01	3.37	11.27	0.13	0.00	0.50	0.00
балашка	11	11	8	8	16	57.89	57.89	73.33	73.33	0.05	0.02	0.02	0.00	3.28	inf	0.00	0.00	0.00	0.00
бичиха	8	8	4	4	9	66.67	66.67	80.00	80.00	0.05	0.12	0.02	0.00	3.20	inf	0.07	0.00	0.33	0.00
копняк	8	8	42	42	26	16.00	16.00	16.00	16.00	0.08	0.11	0.03	0.04	2.84	3.21	0.00	0.00	0.00	0.00
мамбет	111	111	18	18	85	86.05	86.05	86.72	86.72	0.23	0.23	0.09	0.00	2.62	480.21	0.00	0.00	0.00	0.00
мивина	525	525	30	30	274	94.59	94.59	95.80	95.80	0.10	0.10	0.05	0.00	2.13	20.17	0.00	0.00	0.00	0.00
Кёниг	35	35	167	167	148	17.33	17.33	21.60	21.60	0.63	0.63	0.32	0.07	1.98	8.89	0.00	0.00	0.00	0.00
позная	6	6	16	16	14	27.27	27.27	30.00	30.00	0.08	0.08	0.04	0.00	1.93	inf	0.00	0.00	0.00	0.00
повешать	41	41	43	43	46	48.81	48.81	51.90	51.90	0.05	0.07	0.03	0.00	1.66	38.82	0.23	0.00	0.35	0.00
насаться	7	7	5	5	8	58.33	58.33	63.64	63.64	0.03	0.09	0.02	0.00	1.62	inf	0.28	0.00	0.67	0.00
секционка	9	9	5	5	11	64.29	64.29	64.29	64.29	0.06	0.07	0.04	0.00	1.54	inf	0.12	0.00	0.25	0.00
рясный	44	44	5	5	9	89.80	89.80	91.67	91.67	0.05	0.01	0.04	0.00	1.44	inf	0.30	0.00	0.67	0.00
улучшенка	13	13	2	2	3	86.67	86.67	86.67	86.67	0.04	0.06	0.03	0.00	1.44	inf	0.10	0.00	0.25	0.00
сарайка	30	30	17	17	48	63.83	63.83	71.43	71.43	0.06	0.11	0.04	0.00	1.43	64.57	0.34	0.00	0.20	0.00
парма	37	37	218	218	123	14.51	14.51	16.52	16.52	0.21	0.21	0.15	0.09	1.36	2.27	0.07	0.00	0.25	0.00
Ебург	38	38	45	45	28	45.78	45.78	55.07	55.07	0.05	0.07	0.04	0.01	1.27	11.05	0.17	0.00	0.56	0.00
повешаться	27	27	23	23	36	54.00	54.00	60.00	60.00	0.03	0.07	0.02	0.00	1.26	19.35	0.28	0.00	0.31	0.00
КГТ	11	11	10	10	33	52.38	52.38	55.00	55.00	0.09	0.11	0.07	0.00	1.19	inf	0.11	0.00	0.25	0.00
толока	85	85	8	8	31	91.40	91.40	96.59	96.59	0.01	0.02	0.01	0.00	1.17	4.46	0.21	0.00	0.50	0.00
шаверма	16	16	210	210	287	7.08	7.08	9.70	9.70	0.33	0.13	0.19	0.13	1.73	1.01	0.15	0.36	0.44	0.50
Новосиб	161	161	148	148	144	52.10	52.10	60.98	60.98	0.27	0.27	0.27	0.23	0.98	1.15	0.35	0.33	0.42	0.28
подклад	256	256	267	267	206	48.95	48.95	53.11	53.11	0.12	0.15	0.13	0.09	0.94	1.61	0.33	0.12	0.54	0.25
гирло	57	57	7	7	31	89.06	89.06	95.00	95.00	0.01	0.01	0.01	0.00	0.88	inf	0.32	0.00	0.50	0.00
брежневка	19	19	12	12	16	61.29	61.29	65.52	65.52	0.03	0.03	0.03	0.00	0.79	inf	0.50	0.00	0.41	0.00
гембель	7	7	17	17	26	29.17	29.17	38.89	38.89	0.04	0.04	0.05	0.00	0.77	8.54	0.23	0.00	1.00	0.00
ботсад	149	149	74	74	65	66.82	66.82	60.64	60.64	0.06	0.08	0.07	0.07	0.77	1.11	0.45	0.37	0.69	0.56
наливайка	58	58	17	17	31	77.33	77.33	79.45	79.45	0.03	0.02	0.04	0.00	0.77	16.54	0.35	0.00	0.56	0.00
мамбетский	40	40	2	2	19	95.24	95.24	95.24	95.24	0.06	0.10	0.08	0.00	0.75	inf	0.54	0.00	0.50	0.00
Симфер	70	70	7	7	14	90.91	90.91	95.89	95.89	0.01	0.01	0.02	0.00	0.72	inf	0.28	0.00	1.00	0.00
пасочка	565	565	93	93	178	85.87	85.87	88.98	88.98	0.08	0.10	0.12	0.02	0.69	4.38	0.35	0.00	0.62	0.00
Новочек	6	6	5	5	6	54.55	54.55	66.67	66.67	0.05	0.05	0.07	0.00	0.68	inf	0.32	0.00	1.00	0.00
потеряшка	76	76	279	279	208	21.41	21.41	25.17	25.17	0.11	0.09	0.11	0.13	1.06	0.68	0.30	0.42	0.63	0.83
сродный	22	22	168	168	114	11.58	11.58	13.02	13.02	0.08	0.08	0.12	0.08	0.67	0.97	0.43	0.03	0.75	1.00
сталинка	109	109	83	83	138	56.77	56.77	69.87	69.87	0.03	0.03	0.05	0.04	0.62	0.84	0.54	0.35	0.47	0.67
политсила	150	150	34	34	45	81.52	81.52	89.29	89.29	0.03	0.03	0.05	0.01	0.57	2.52	0.43	0.00	1.00	0.00
пайта	20	20	29	29	29	40.82	40.82	42.55	42.55	0.05	0.05	0.10	0.00	0.54	inf	0.48	0.00	0.50	0.00
реготать	33	33	3	3	13	91.67	91.67	94.29	94.29	0.01	0.01	0.01	0.00	0.53	inf	0.56	0.00	0.50	0.00
греча	54	54	2516	2516	2474	2.10	2.10	2.59	2.59	0.54	0.62	1.17	1.17	0.47	0.53	0.57	0.53	0.84	0.81
тям	18	18	12	12	8	60.00	60.00	75.00	75.00	0.02	0.00	0.02	0.00	1.00	0.45	0.37	0.55	0.44	1.00
Новоросс	19	19	102	102	45	15.70	15.70	19.39	19.39	0.12	0.12	0.27	0.07	0.42	1.59	0.58	0.00	1.00	0.00
поварёшка	50	50	148	148	177	25.25	25.25	29.07	29.07	0.05	0.05	0.11	0.07	0.42	0.79	0.62	0.35	0.85	0.62
дудлить	6	6	4	4	7	60.00	60.00	100.00	100.00	0.00	0.00	0.00	0.00	0.40	inf	0.60	0.00	1.00	0.00
сотовый	772	772	6346	6346	4770	10.85	10.85	12.32	12.32	0.99	0.99	2.47	2.47	0.40	0.40	0.60	0.60	1.00	1.00
малосемейка	79	79	98	98	57	44.63	44.63	45.40	45.40	0.05	0.05	0.05	0.15	0.95	0.36	0.45	0.69	0.40	0.75
Кривбасс	90	90	10	10	29	90.00	90.00	95.74	95.74	0.02	0.02	0.05	0.00	0.35	4.03	0.65	0.00	1.00	0.00
байга	16	16	1	1	10	94.12	94.12	94.12	94.12	0.04	0.04	0.11	0.00	0.35	inf	0.65	0.00	1.00	0.00
выпадывать	9	9	11	11	10	45.00	45.00	50.00	50.00	0.03	0.02	0.09	0.00	0.34	inf	0.66	0.00	1.00	0.00
Стерлик	5	5	8	8	3	38.46	38.46	45.45	45.45	0.02	0.02	0.07	0.00	0.33	inf	0.67	0.00	1.00	0.00
баклажка	60	60	24	24	48	71.43	71.43	67.57	67.57	0.05	0.04	0.08	0.14	0.62	0.30	0.56	0.76	0.47	0.33
кубло	86	86	64	64	96	57.33	57.33	65.15	65.15	0.07	0.03	0.19	0.09	0.35	0.29	0.70	0.75	0.84	0.50
селюк	369	369	41	41	134	90.00	90.00	92.02	92.02	0.07	0.07	0.29	0.01	0.24	11.03	0.76	0.00	1.00	0.00
горпарк	6	6	12	12	4	33.33	33.33	33.33	33.33	0.04	0.04	0.17	0.17	0.22	0.22	0.78	0.78	1.00	1.00
шихан	19	19	57	57	61	25.00	25.00	32.20	32.20	0.05	0.05	0.22	0.01	0.21	6.70	0.79	0.00	1.00	0.00
Ирк	10	10	11	11	21	47.62	47.62	50.00	50.00	0.01	0.01	0.03	0.00	0.20	inf	0.80	0.00	1.00	0.00
яйла	16	16	29	29	40	35.56	35.56	41.03	41.03	0.10	0.10	0.49	0.02	0.20	5.18	0.80	0.00	1.00	0.00
парафия	17	17	5	5	15	77.27	77.27	89.47	89.47	0.00	0.00	0.02	0.00	0.19	inf	0.82	0.00	0.50	0.00
занос	163	163	1194	1194	889	12.01	12.01	0.00	0.00	0.11	0.11	0.66	0.66	0.18	0.18	0.82	0.82	1.00	1.00
стёрка	47	47	74	74	76	38.84	38.84	43.12	43.12	0.02	0.02	0.14	0.01	0.16	1.32	0.84	0.35	1.00	0.31
мобилка	292	292	429	429	461	40.50	40.50	46.87	46.87	0.06	0.06	0.35	0.22	0.16	0.25	0.84	0.75	1.00	1.00
бусик	86	86	59	59	75	59.31	59.31	69.92	69.92	0.01	0.02	0.07	0.02	0.16	0.98	0.84	0.02	1.00	1.00
сотик	38	38	89	89	80	29.92	29.92	32.76	32.76	0.03	0.04	0.09	0.23	0.34	0.15	0.69	0.85	0.84	1.00
обменник	17	17	663	663	304	2.50	2.50	2.92	2.92	0.04	0.04	0.26	0.23	0.15	0.17	0.85	0.83	1.00	1.00
шухлядка	13	13	4	4	5	76.47	76.47	81.25	81.25	0.00	0.00	0.02	0.00	0.12	inf	0.88	0.00	1.00	0.00
Челяба	55	55	71	71	89	43.65	43.65	50.46	50.46	0.16	0.16	1.40	1.35	0.11	0.12	0.89	0.89	0.75	0.50
кугут	12	12	5	5	3	70.59	70.59	70.59	70.59	0.00	0.00	0.02	0.00	0.11	inf	0.89	0.00	1.00	0.00
поребрик	11	11	653	653	382	1.66	1.66	1.86	1.86	0.03	0.03	0.28	0.28	0.11	0.10	0.89	0.90	1.00	1.00
чинарик	12	12	62	62	74	16.22	16.22	3.12	3.12	0.02	0.01	0.19	0.03	0.08	0.24	0.92	0.76	1.00	1.00
матный	33	33	725	725	543	4.35	4.35	5.02	5.02	0.07	0.09	0.80	0.73	0.08	0.12	0.92	0.88	1.00	1.00
обменка	67	67	59	59	59	53.17	53.17	59.29	59.29	0.01	0.01	0.18	0.07	0.08	0.17	0.92	0.83	1.00	1.00
сидушка	26	26	116	116	101	18.31	18.31	0.00	0.00	0.02	0.02	0.30	0.05	0.06	0.38	0.94	0.62	1.00	1.00
кравчучка	36	36	50	50	109	41.86	41.86	53.73	53.73	0.01	0.01	0.12	0.10	0.06	0.07	0.94	0.93	1.00	1.00
догонялки	31	31	1028	1027	762	2.93	2.93	3.37	3.37	0.11	0.15	3.38	0.85	0.03	0.17	0.97	0.83	1.00	1.00
кинопалац	9	9	6	6	6	60.00	60.00	64.29	64.29	0.00	0.00	0.06	0.06	0.03	0.03	0.97	0.97	1.00	1.00
новостийный	93	93	123	123	149	43.06	43.06	46.73	46.73	0.02	0.02	0.74	0.13	0.02	0.14	0.98	0.86	1.00	1.00
растрынькать	5	5	3	3	8	62.50	62.50	62.50	62.50	0.00	0.00	0.04	0.00	0.02	inf	0.98	0.00	1.00	0.00
Симфи	7	7	11	11	3	38.89	38.89	43.75	43.75	0.00	0.00	0.09	0.00	0.02	inf	0.98	0.00	1.00	0.00
ракушняк	16	16	10	10	11	61.54	61.54	72.73	72.73	0.00	0.00	0.23	0.00	0.01	inf	0.99	0.00	1.00	0.00
бодыч	1	1	0	0	1	100.00	100.00	100.00	100.00	0.01	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
родовик	0	0	4	4	0	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	1.00	1.00
свороток	4	4	8	8	4	33.33	33.33	50.00	50.00	0.17	0.00	0.01	0.00	11.80	0.00	0.04	0.00	0.25	1.00
улановский	2	2	10	10	5	16.67	16.67	18.18	18.18	0.09	0.00	0.10	0.00	0.90	0.00	0.10	0.00	1.00	1.00
Ульск	4	4	2	2	4	66.67	66.67	80.00	80.00	0.08	0.00	0.01	0.00	15.64	0.00	0.00	0.00	0.00	1.00
энский	3	3	19	19	13	13.64	13.64	14.29	14.29	0.02	0.00	0.08	0.00	0.27	0.00	0.73	0.00	1.00	1.00
мультифорка	1	1	2	2	0	33.33	33.33	50.00	50.00	0.01	0.00	0.04	0.00	0.18	0.00	0.82	0.00	1.00	1.00
политпроект	2	2	4	4	2	33.33	33.33	33.33	33.33	0.00	0.00	0.02	0.00	0.02	0.00	0.98	0.00	1.00	1.00
коринка	0	0	8	8	8	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	1.00	1.00
отпадывать	3	3	1	1	3	75.00	75.00	75.00	75.00	0.01	0.00	0.06	0.00	0.13	0.00	0.87	0.00	0.50	1.00
бодан	0	0	2	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
шобон	0	0	5	5	2	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
газвода	3	3	4	4	9	42.86	42.86	60.00	60.00	0.01	0.00	0.03	0.00	0.39	0.00	0.66	0.00	0.67	1.00
сорожка	2	2	1	1	3	66.67	66.67	66.67	66.67	0.01	0.00	0.00	0.00	1.89	0.00	0.05	0.00	0.50	1.00
дикошарый	6	6	1	1	0	85.71	85.71	85.71	85.71	0.01	0.00	0.01	0.00	1.68	0.00	0.31	0.00	0.25	1.00
кура	2	2	39	39	29	4.88	4.88	6.45	6.45	0.01	0.00	0.09	0.01	0.14	0.00	0.86	0.00	1.00	1.00
уёк	0	0	7	7	1	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.00	1.00
бозо	0	0	11	11	15	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	1.00	1.00
хабза	3	3	3	3	8	50.00	50.00	75.00	75.00	0.01	0.00	0.05	0.00	0.25	0.00	0.79	0.00	0.50	1.00
ляпки	3	3	24	24	26	11.11	11.11	13.04	13.04	0.01	0.00	0.14	0.00	0.09	0.00	0.91	0.00	1.00	1.00
шибаться	0	0	3	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
ганделик	3	3	0	0	0	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
ламбина	0	0	1	1	5	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	1.00	1.00
рипус	0	0	1	1	3	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
шалабушки	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
гопа	2	2	98	98	51	2.00	2.00	2.35	2.35	0.03	0.00	0.10	0.04	0.27	0.00	0.73	0.00	1.00	1.00
забутовка	0	0	3	3	3	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.00	1.00
курумник	1	1	4	4	1	20.00	20.00	25.00	25.00	0.27	0.00	0.02	0.00	12.19	0.00	0.00	0.00	0.00	1.00
турлы	1	1	4	4	7	20.00	20.00	20.00	20.00	0.05	0.00	0.02	0.00	3.26	0.00	0.00	0.00	0.00	1.00
захилять	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
изнахратить	3	3	3	3	3	50.00	50.00	50.00	50.00	0.02	0.00	0.02	0.00	1.33	0.00	0.12	0.00	0.44	1.00
местовое	1	1	0	0	0	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
Зелик	6	6	32	32	19	15.79	15.79	22.22	22.22	0.03	0.00	0.06	0.01	0.54	0.00	0.46	0.00	1.00	1.00
граз	0	0	15	15	12	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	1.00	1.00
толобы	1	1	2	2	3	33.33	33.33	50.00	50.00	0.17	0.00	0.00	0.00	240.67	0.00	0.00	0.00	0.00	1.00
Ижик	2	2	3	3	3	40.00	40.00	40.00	40.00	0.03	0.00	0.02	0.00	1.60	0.00	0.00	0.00	0.00	1.00
фортан	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
дерибаска	0	0	3	3	3	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
